,,,,,Project,,,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,C7a,,,0,,,,,0,,,0,,1,"Saturated extract/Electrical Conductance, mmohs/cm","A saturated soil paste is made by combining deionized water with approximately a 50cc volume of soil. After intermittent stirring and equilibration for 2 hours, the free water is extracted by filtration under a vacuum. Electrical conductance of the filtrate is determined using the Accumet Model 30 conductivity meter, and is expressed as millimhos/cm.","Method 8A1. Saturation Extract. p. 386. in Soil Survey Laboratory Methods Manual. August 1992. Soil Survey Investigations Report No. 42. Soil Conservation Service, USDA, National Soil Survey Center.   Whitney, D.A. Soil Salinity. p. 59-60. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.",S15,,,,,,,,,,,,,,,,
,,C7b,,4F1a1a1,,,,,,,,,,,,"Salt Prediction, 1:2 (w/v)",,"SSIR No. 42, v5, pg 383, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=411",,,,,,,,,,,,,,,,,
,,C7c,,4F2,,,,,,,,,,,,Saturated Paste and Soluble Salts,,"SSIR No. 42, v5, pg 390, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=418",,,,,,,,,,,,,,,,,
,,C7d,,,,,,,,,,,,,,"Saturated Paste, microsiemens per cm (µS/cm)",,,,,,,,,,,,,,,,,,,
,,C7zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C8,,,,,,,,,,,,,,,Exchangeable Cations,,,,,,,,,,,,,,,,,,,
,,C8a,,,0,,,,,0,,,0,,1,Exchangeable sodium percentage (ESP) and/or Sodium adsorption ration (SAR),"Exchangeable sodium percentage (ESP) is used in the classification of saline and alkali soils or to determine if a sodium hazard exists. This method requires the determination of CEC and percent exchangeable sodium (ESP). If soluble sodium is present, the exchangeable value is corrected by analysis of Na in a saturated extract.1 SAR, or sodium adsorption ratio is used to estimate or predict ESP by analyzing for Na, Ca, and Mg in a water saturated soil extract.2SAR is commonly determined on irrigation water to classify the sodium hazard.","Method 5D2. Exchangeable Sodium Percentage (ESP). p. 154. in Soil Survey Laboratory Methods Manual. August 1992. Soil Survey Investigations Report No. 42. Soil Conservation Service, USDA, National Soil Survey Center.","S17, S18",,,,,,,,,,,,,,,,
,,C8b,,,0,,,,,0,,,0,,,Melich III,,,,,,,,,,,,,,,,,,,
,,,C8b1,,,,,,,,,,,,1,Melich III extractable nutrients,"A 3 g sample of air dried soil is shaken with 30 mL of Mehlich III extracting solution [0.2 N CH3COOH, 0.25 N NH4NO3, 0.015 N NH4F, 0.013 N HNO3, and 0.001 NEDTA] for 5 min. and then centrifuged. The supernatant is analyzed for Ca, Cu, K, Mg, Mn, P, and Zn by ICP-AES.","Mehlich A. 1984. Mehlich 3 soil test extractant: a modification of mehlich 2 extractant. Commun. in Soil Sci. Plant Anal. 15:1409-1416.    Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",S29,,,,,,,,,,,,,,,,
,,,C8b2,4D6a1,,,,,,,,,,,,"Phosphorus, Mehlich III",A 2.5-g soil sample is shaken with 25 mL of Mehlich No. 3 extracting solution for 5 min. The sample is centrifuged until solution is free of soil mineral particles and then filtered until clear extracts are obtained. Dilute 0.5-mL of sample extract with 13.5-mL of working solution. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil (4D6a1).,"SSIR No. 42, v5, pg 340, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=368",,,,,,,,,,,,,,,,,
,,C8c,,,,,,,,,,,,,,Cation Exchange Capacity (CEC),,,,,,,,,,,,,,,,,,,
,,,C8c1,,0,,,,,0,,,0,,1,Cation exchange capacity (CEC) by direct method,"CEC is determined when 3 g of air dried soil (1 g peat) is leached with 60 mL 1 M NH4OAc, pH 7, to saturate exchange sites with ammonium ions. Excess free ammonium ions are rinsed from the soil with isopropyl alcohol. The remaining ammonium ions held on cation exchange sites are replaced by leaching the soil with successive aliquots of a solution of 10% KCl acidified to 0.005 N HCl. Ammonium is determined on the KCl leachate by colorimetry on a Lachat QuikChem 8500 Flow Injection Analyzer using the salicylate/nitroprusside method.","Method No. 5A8. Ion Exchange Analysis, Cation Exchange Capacity, NH4OAc, pH 7.0 Automatic Extractor. p. 146-148. [Modified by substitution of KCl for NaCl] in Soil Survey Laboratory Methods Manual. August 1992. Soil Survey Investigations Report No. 42. Soil Conservation Service, USDA, National Soil Survey Center.   Kjeltec Auto 1030 Analyzer. Perstorp Analytical, Inc. 12101 Tech Road. Silver Spring, MD 20904.",S12,,,,,,,,,,,,,,,,
,,,C8c2,,0,,,,,,,,,,1,Cation exchange capacity (CEC) by summation method,"CEC is determined by the summation of exchangeable Ca, Mg, Na, K, and Al. Base cations are extracted by leaching 3 g air dried soil (1 g for peat) with successive aliquots of 1 M NH4OAc, pH 7, to total 60 mL. The concentrations of the base cations in the leachate are determined by ICP-AES. The CEC is calculated from the sum of the base cations. ","Method No. 5A3a. Cation Exchange Capacity by summation. p. 145. [Modified by substitution of CEC-7 for CEC-8.2] in Soil Survey Laboratory Methods Manual. August 1992. Soil Survey Investigations Report No. 42. Soil Conservation Service, USDA, National Soil Survey Center.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",S13,,,,,,,,,,,,,,,,
,,,C8c3,4B1b1a,,,,,,,,,,,,"CEC and Cations, Neutral Salts",,"SSIR No. 42, v5, pg 236, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=264",,,,,,,,,,,,,,,,,
,,,C8c4,4B1a1,,,,,,,,,,,,"CEC and Cations, Routine",,"SSIR No. 42, v5, pg 230, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=258",,,,,,,,,,,,,,,,,
,,C8d,,,,,,,,,,,,,,Base Cation Saturation,,,,,,,,,,,,,,,,,,,
,,,C8d1,,,,,,,,,,,,,base_cation_saturation_percent,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C8zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C9,,,,,,,,,,,,,,,Heavy Metals,,,,,,,,,,,,,,,,,,,
,,C9a,,,0,,,,,0,,,0,,1,"Extractable Metals, DTPA (diethylenetriaminepentaacetic acid) , ppm (Fe, Mn, Cu, Zn, Cd, Cr, Ni, Pb)","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",S28,,,,,,,,,,,,,,,,
,,,C9a1,,,,,,,,,,,,,"Cadmium, Cd ","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",,,,,,,,,,,,,,,,,
,,,C9a2,,,,,,,,,,,,,"chromium, Cr ","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",,,,,,,,,,,,,,,,,
,,,C9a3,,,,,,,,,,,,,"Copper, Cu ","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",,,,,,,,,,,,,,,,,
,,,C9a4,,,,,,,,,,,,,"Iron, Fe ","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",,,,,,,,,,,,,,,,,
,,,C9a5,,,,,,,,,,,,,"Lead, Pb ","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",,,,,,,,,,,,,,,,,
,,,C9a6,,,,,,,,,,,,,"Manganese, Mn ","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",,,,,,,,,,,,,,,,,
,,,C9a7,,,,,,,,,,,,,"Nickle, Ni ","These metals are extracted by shaking 10 g of air dried soil for 2 hours in 20 mL of 0.005MDTPA (diethylenetriaminepentaacetic acid). The filtrate is analyzed for Cd, Cr, Cu, Fe, Mn, Ni, Pb and Zn by ICP-AES. A soil to solution ratio of 1:5 or 1:10 is used for peats and mucks."," Baker, D. E. and M. C. Amacher. Nickel, Copper, Zinc. and Cadmium. Method 19-3.3. p. 323-336. in Ref. Source H. Also: Whitney, D.A. Micronutrients: Zinc, Iron, Manganese and Copper. p. 41-44. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",,,,,,,,,,,,,,,,,
,,C9b,,4D2a2d1-22,,,,,,,,,,,,"Elements, Water Extract, inductively coupled plasma mass spectrophotometer (ICP–MS)","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b1,,,,,,,,,,,,,"Aluminum, Al ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b2,,,,,,,,,,,,,"Arsenic, As ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b3,,,,,,,,,,,,,"Cadmium, Cd ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b4,,,,,,,,,,,,,"Chromium, Cr ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b5,,,,,,,,,,,,,"Cobalt, Co ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b6,,,,,,,,,,,,,"Copper, Cu ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b7,,,,,,,,,,,,,"Iron, Fe ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b8,,,,,,,,,,,,,"Lead, Pb ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C9b9,,,,,,,,,,,,,"Nickle, Ni ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,C9c,,,0,,,,,0,,,0,,1,"Extractable metals, 1M HNO3 (Nitric acid)","Metals are extracted by shaking 3 g of air dried soil in 30 mL of 1 N HNO3for 1 hour. After centrifugation, the supernatant analyzed for Al, Cd, Cr , Cu, Fe, Mn, Ni, Pb, and Zn by ICP-AES.","Mielke, H.W., J.C. Anderson, K.J. Berry, P.W. Mielke, R.L. Chaney, and M. Leech. 1983. Lead concentrations in inner-city soils as a factor in the child lead problem. AJPH. 73:1366-1369. Also (For Pb): Soil Testing and Research Analytical Laboratories. 1991. Determination of Lead in Soil. University of Minnesota. St. Paul, MN 55108. [Referred to in MPCA Rules, Minnesota Rules Chapter 4760 Entitled “Lead Abatement in Soil” 1991.]   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",S30,,,,,,,,,,,,,,,,
